"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Super Hotel O 820564 YUVA INN","3.6","132","","","820564 YUVA INN 3","","https://www.google.com/maps/place/Super+Hotel+O+820564+YUVA+INN/data=!4m10!3m9!1s0x3bd4bf38ad0d3a21:0x5cb10945b4bf014f!5m2!4m1!1i1!8m2!3d21.0847977!4d79.0876152!16s%2Fg%2F11fr6smt78!19sChIJIToNrTi_1DsRTwG_tEUJsVw?authuser=0&hl=en&rclk=1"
"FabHotel New Shraddha Inn","4.7","33","","","","","https://www.google.com/maps/place/FabHotel+New+Shraddha+Inn/data=!4m10!3m9!1s0x3bd4bfe374e07f6d:0xbab7b3bfacc4352d!5m2!4m1!1i1!8m2!3d21.087519!4d79.068192!16s%2Fg%2F11w438wrnp!19sChIJbX_gdOO_1DsRLTXErL-zt7o?authuser=0&hl=en&rclk=1"
"SPOT ON Fakt Tu Aani Mi","4.2","11","","","","","https://www.google.com/maps/place/SPOT+ON+Fakt+Tu+Aani+Mi/data=!4m10!3m9!1s0x3bd4b9ea672ea8df:0x30850d18becdaeb1!5m2!4m1!1i1!8m2!3d21.0954327!4d79.1561308!16s%2Fg%2F11tjg8t0fk!19sChIJ36guZ-q51DsRsa7NvhgNhTA?authuser=0&hl=en&rclk=1"
"OYO Manav Hotel","4.6","11","","","","","https://www.google.com/maps/place/OYO+Manav+Hotel/data=!4m10!3m9!1s0x3bd4b960953c15cd:0x1486ee1919731f1d!5m2!4m1!1i1!8m2!3d21.1276874!4d79.1699448!16s%2Fg%2F11y5nq1f_z!19sChIJzRU8lWC51DsRHR9zGRnuhhQ?authuser=0&hl=en&rclk=1"
"Hotel Rajhans","3.3","32","","","","","https://www.google.com/maps/place/Hotel+Rajhans/data=!4m10!3m9!1s0x3bd4c7366fd9dfdb:0xf5dda7b2759d905b!5m2!4m1!1i1!8m2!3d21.1527088!4d79.0946105!16s%2Fg%2F11b6d21v98!19sChIJ29_ZbzbH1DsRW5CddbKn3fU?authuser=0&hl=en&rclk=1"
"Hotel Zoo Palace","5.0","6","","","","","https://www.google.com/maps/place/Hotel+Zoo+Palace/data=!4m10!3m9!1s0x3bd4c300114531bf:0xa1aab76e007d8640!5m2!4m1!1i1!8m2!3d21.2191096!4d79.0421493!16s%2Fg%2F11vylhym4n!19sChIJvzFFEQDD1DsRQIZ9AG63qqE?authuser=0&hl=en&rclk=1"
"OYO Hotel Kings Deluxe","5.0","12","","","","","https://www.google.com/maps/place/OYO+Hotel+Kings+Deluxe/data=!4m10!3m9!1s0x3bd4b94980bb626f:0x37784cfb101ef9c!5m2!4m1!1i1!8m2!3d21.091972!4d79.160087!16s%2Fg%2F11w437dc0h!19sChIJb2K7gEm51DsRnO8Bsc-EdwM?authuser=0&hl=en&rclk=1"
"OYO Ocsa Inn","3.5","528","","","","","https://www.google.com/maps/place/OYO+Ocsa+Inn/data=!4m10!3m9!1s0x3bd4bf8d118b16a3:0x9a1d81fe859b1a75!5m2!4m1!1i1!8m2!3d21.0917418!4d79.0674124!16s%2Fg%2F11gxmtzylf!19sChIJoxaLEY2_1DsRdRqbhf6BHZo?authuser=0&hl=en&rclk=1"
"Hotel Nabh","5.0","7","","","","","https://www.google.com/maps/place/Hotel+Nabh/data=!4m10!3m9!1s0x3bd4c700624bed0d:0x51ce7a378e54851!5m2!4m1!1i1!8m2!3d21.185521!4d79.1901833!16s%2Fg%2F11v_8lt_p3!19sChIJDe1LYgDH1DsRUUjleKPnHAU?authuser=0&hl=en&rclk=1"
"HOTEL CAFE 8","4.4","1,066","","","8 4","","https://www.google.com/maps/place/HOTEL+CAFE+8/data=!4m10!3m9!1s0x3bd4954c03f4447b:0xc826631aaf60c46b!5m2!4m1!1i1!8m2!3d21.1104472!4d79.0027521!16s%2Fg%2F11f_j0320m!19sChIJe0T0A0yV1DsRa8RgrxpjJsg?authuser=0&hl=en&rclk=1"
"Hotel Status","3.7","184","","","","","https://www.google.com/maps/place/Hotel+Status/data=!4m10!3m9!1s0x3bd4c0ea4c701cd1:0x8b77eddd06caf4cf!5m2!4m1!1i1!8m2!3d21.146208!4d79.081665!16s%2Fg%2F1tfslft5!19sChIJ0RxwTOrA1DsRz_TKBt3td4s?authuser=0&hl=en&rclk=1"
"OYO The Orchid Hotel","4.4","16","","","","","https://www.google.com/maps/place/OYO+The+Orchid+Hotel/data=!4m10!3m9!1s0x3bd4bf004a7c493d:0xa6f340e01771c130!5m2!4m1!1i1!8m2!3d21.1066689!4d79.0494686!16s%2Fg%2F11lcpqgn8z!19sChIJPUl8SgC_1DsRMMFxF-BA86Y?authuser=0&hl=en&rclk=1"
"Hotel O UTS STAY IN","1.5","4","","","","","https://www.google.com/maps/place/Hotel+O+UTS+STAY+IN/data=!4m10!3m9!1s0x3bd4b90f8a1e77b7:0x2d777edde7037e65!5m2!4m1!1i1!8m2!3d21.0702778!4d79.1376479!16s%2Fg%2F11vwj3c37m!19sChIJt3ceig-51DsRZX4D591-dy0?authuser=0&hl=en&rclk=1"
"Super OYO The Crown Inn","3.4","73","","","","","https://www.google.com/maps/place/Super+OYO+The+Crown+Inn/data=!4m10!3m9!1s0x3bd4bfe903b4159f:0x7de686ce033e7230!5m2!4m1!1i1!8m2!3d21.0885005!4d79.08014!16s%2Fg%2F11qngg8g66!19sChIJnxW0A-m_1DsRMHI-A86G5n0?authuser=0&hl=en&rclk=1"
"FabHotel Royal Stay","4.1","65","","","","","https://www.google.com/maps/place/FabHotel+Royal+Stay/data=!4m10!3m9!1s0x3bd4bf2edd4b00df:0x5dca3b75803850ce!5m2!4m1!1i1!8m2!3d21.078611!4d79.0784!16s%2Fg%2F11y2k96cmp!19sChIJ3wBL3S6_1DsRzlA4gHU7yl0?authuser=0&hl=en&rclk=1"
"OYO Hotel Zoo Palace","","","","","","","https://www.google.com/maps/place/OYO+Hotel+Zoo+Palace/data=!4m10!3m9!1s0x3bd4c168ff2fc2a1:0x45226f2a6c8be395!5m2!4m1!1i1!8m2!3d21.1893203!4d79.0640278!16s%2Fg%2F11y4q706zh!19sChIJocIv_2jB1DsRleOLbCpvIkU?authuser=0&hl=en&rclk=1"
"SPOT ON Hotel Brc Inn","5.0","3","","","","","https://www.google.com/maps/place/SPOT+ON+Hotel+Brc+Inn/data=!4m10!3m9!1s0x3bd4bffd03707ee5:0x4811c3a9126c3679!5m2!4m1!1i1!8m2!3d21.0881404!4d79.097915!16s%2Fg%2F11kqndxgjf!19sChIJ5X5wA_2_1DsReTZsEqnDEUg?authuser=0&hl=en&rclk=1"
"Super OYO 820809 Hotel RS","4.4","10","","","820809 Hotel RS 4","","https://www.google.com/maps/place/Super+OYO+820809+Hotel+RS/data=!4m10!3m9!1s0x3bd4c77265321c89:0x13178c90ab857d87!5m2!4m1!1i1!8m2!3d21.181578!4d79.1557244!16s%2Fg%2F11lcdxjp43!19sChIJiRwyZXLH1DsRh32Fq5CMFxM?authuser=0&hl=en&rclk=1"
"SPOT ON Hotel Sk Star","3.1","31","","","","","https://www.google.com/maps/place/SPOT+ON+Hotel+Sk+Star/data=!4m10!3m9!1s0x3bd4c15d03e95ff7:0xf15c6c10110b18d8!5m2!4m1!1i1!8m2!3d21.11933!4d79.03651!16s%2Fg%2F11s8xvt31x!19sChIJ91_pA13B1DsR2BgLERBsXPE?authuser=0&hl=en&rclk=1"
"Super OYO Flagship Kings Hotel","4.1","8","","","","","https://www.google.com/maps/place/Super+OYO+Flagship+Kings+Hotel/data=!4m10!3m9!1s0x3bd4b942bb9a54b1:0x9c4d6cb8a77c409!5m2!4m1!1i1!8m2!3d21.0661363!4d79.1282462!16s%2Fg%2F11khpfqhq7!19sChIJsVSau0K51DsRCcR3isvWxAk?authuser=0&hl=en&rclk=1"
"Khandekar lodge and restaurant","5.0","2","","","","","https://www.google.com/maps/place/Khandekar+lodge+and+restaurant/data=!4m10!3m9!1s0x3bd4c90067b68531:0x626a8b10e769f7e1!5m2!4m1!1i1!8m2!3d21.1620625!4d79.2374561!16s%2Fg%2F11y2sdmcsg!19sChIJMYW2ZwDJ1DsR4fdp5xCLamI?authuser=0&hl=en&rclk=1"
"Hotel Shivika","3.2","95","","","","","https://www.google.com/maps/place/Hotel+Shivika/data=!4m10!3m9!1s0x3bd4c0eab409bbad:0x2706dbe45cfba2bf!5m2!4m1!1i1!8m2!3d21.1451826!4d79.0859504!16s%2Fg%2F11b5qhxnr2!19sChIJrbsJtOrA1DsRv6L7XOTbBic?authuser=0&hl=en&rclk=1"
"OYO Hotel G.K Lodging and Guest House","3.8","8","","","","","https://www.google.com/maps/place/OYO+Hotel+G.K+Lodging+and+Guest+House/data=!4m10!3m9!1s0x3bd4b9eb30c0f989:0x61c26f3d25efd002!5m2!4m1!1i1!8m2!3d21.1187046!4d79.1389036!16s%2Fg%2F11sv51h4b0!19sChIJifnAMOu51DsRAtDvJT1vwmE?authuser=0&hl=en&rclk=1"
"OYO DREAMZZ INN","3.9","82","","","","","https://www.google.com/maps/place/OYO+DREAMZZ+INN/data=!4m10!3m9!1s0x3bd4bfd57e7aea71:0x95ac8c60c22acf00!5m2!4m1!1i1!8m2!3d21.1162241!4d79.0967392!16s%2Fg%2F11tcv0l79j!19sChIJcep6ftW_1DsRAM8qwmCMrJU?authuser=0&hl=en&rclk=1"
"OYO Flagship 806639 The Sonus Hotel","4.1","21","","","806639 The Sonus Hotel 4","","https://www.google.com/maps/place/OYO+Flagship+806639+The+Sonus+Hotel/data=!4m10!3m9!1s0x3bd4c77f2c92f659:0xcfd17e56b25f7ebe!5m2!4m1!1i1!8m2!3d21.1284811!4d79.1495616!16s%2Fg%2F11sdxh5_3f!19sChIJWfaSLH_H1DsRvn5fslZ-0c8?authuser=0&hl=en&rclk=1"
"SPOT ON Shraddha Hotel","3.1","88","","","","","https://www.google.com/maps/place/SPOT+ON+Shraddha+Hotel/data=!4m10!3m9!1s0x3bd4c0cc49f2f743:0x694e6479188364a4!5m2!4m1!1i1!8m2!3d21.1544588!4d79.1053704!16s%2Fg%2F1td7rnhq!19sChIJQ_fySczA1DsRpGSDGHlkTmk?authuser=0&hl=en&rclk=1"
"SPOT ON Sunrise Inn","1.7","35","","","","","https://www.google.com/maps/place/SPOT+ON+Sunrise+Inn/data=!4m10!3m9!1s0x3a295b11f6e2b349:0x250b065a45f9b90!5m2!4m1!1i1!8m2!3d21.1152632!4d79.0712533!16s%2Fg%2F11smzh6glf!19sChIJSbPi9hFbKToRkJtfpGWwUAI?authuser=0&hl=en&rclk=1"
"Super OYO Hotel Trinetra Inn","5.0","6","","","","","https://www.google.com/maps/place/Super+OYO+Hotel+Trinetra+Inn/data=!4m10!3m9!1s0x3bd4c15c771b5911:0xfff39f2e4160e3dc!5m2!4m1!1i1!8m2!3d21.2034204!4d79.0774643!16s%2Fg%2F11ldql43t6!19sChIJEVkbd1zB1DsR3ONgQS6f8_8?authuser=0&hl=en&rclk=1"
"OYO HOTEL SILK","3.2","9","","","","","https://www.google.com/maps/place/OYO+HOTEL+SILK/data=!4m10!3m9!1s0x3bd4bf53874f1867:0xcf62dc0e227e17be!5m2!4m1!1i1!8m2!3d21.0731682!4d79.0792401!16s%2Fg%2F11vwq73mtp!19sChIJZxhPh1O_1DsRvhd-Ig7cYs8?authuser=0&hl=en&rclk=1"
"Super Hotel O Pardi Near Kalamna Market Company Serviced","3.8","5","","","","","https://www.google.com/maps/place/Super+Hotel+O+Pardi+Near+Kalamna+Market+Company+Serviced/data=!4m10!3m9!1s0x3bd4c79ccee04961:0x35d1919ac7fb4584!5m2!4m1!1i1!8m2!3d21.1497232!4d79.1645168!16s%2Fg%2F11srh4xnpr!19sChIJYUngzpzH1DsRhEX7x5qR0TU?authuser=0&hl=en&rclk=1"
"Hotel Shree Kanhaiya","3.7","40","","","","","https://www.google.com/maps/place/Hotel+Shree+Kanhaiya/data=!4m10!3m9!1s0x3bd4c0951dcbdd69:0x85ed498d94f0e3e1!5m2!4m1!1i1!8m2!3d21.1429259!4d79.0847376!16s%2Fg%2F1thk_9h_!19sChIJad3LHZXA1DsR4ePwlI1J7YU?authuser=0&hl=en&rclk=1"
"OYO HOTEL CROWN","0","0","","","","","https://www.google.com/maps/place/OYO+HOTEL+CROWN/data=!4m10!3m9!1s0x3bd4b94a002fe113:0x46517934fd960945!5m2!4m1!1i1!8m2!3d21.1013823!4d79.1450654!16s%2Fg%2F11vx5p531h!19sChIJE-EvAEq51DsRRQmW_TR5UUY?authuser=0&hl=en&rclk=1"
"Hotel O RK 2","3.5","4","","","2 3","","https://www.google.com/maps/place/Hotel+O+RK+2/data=!4m10!3m9!1s0x3bd4bfa010e0a4b1:0xd1861bcde90602c4!5m2!4m1!1i1!8m2!3d21.0572528!4d79.0933849!16s%2Fg%2F11y3dzqq9f!19sChIJsaTgEKC_1DsRxAIG6c0bhtE?authuser=0&hl=en&rclk=1"
"OYO Hotel Bluebird Inn","2.0","1","","","","","https://www.google.com/maps/place/OYO+Hotel+Bluebird+Inn/data=!4m10!3m9!1s0x3bd4bfd39fe7b1d1:0x49133fdc8973de5!5m2!4m1!1i1!8m2!3d21.0959633!4d79.0638872!16s%2Fg%2F11vx6zwxvc!19sChIJ0bHnn9O_1DsR5T2XyP0zkQQ?authuser=0&hl=en&rclk=1"
"Hotel Kuber","3.5","126","","","","","https://www.google.com/maps/place/Hotel+Kuber/data=!4m10!3m9!1s0x3bd4c0954966a13b:0x8090bab8123738ca!5m2!4m1!1i1!8m2!3d21.1444988!4d79.0859277!16s%2Fg%2F11gcdqlj6s!19sChIJO6FmSZXA1DsRyjg3Eri6kIA?authuser=0&hl=en&rclk=1"
"Flagship Green Lodging And Boarding","5.0","1","","","","","https://www.google.com/maps/place/Flagship+Green+Lodging+And+Boarding/data=!4m10!3m9!1s0x3bd4b93213a51475:0x6029211f68da04d5!5m2!4m1!1i1!8m2!3d21.1023099!4d79.1460075!16s%2Fg%2F11s6b1qlgd!19sChIJdRSlEzK51DsR1QTaaB8hKWA?authuser=0&hl=en&rclk=1"
