"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Super Hotel O 824367 THE VANTAGE INN","3.8","51","","","824367 THE VANTAGE INN 3","","https://www.google.com/maps/place/Super+Hotel+O+824367+THE+VANTAGE+INN/data=!4m10!3m9!1s0x3bd4c1431bfa0bdb:0x4ebda45b33fca037!5m2!4m1!1i1!8m2!3d21.1357274!4d79.0939141!16s%2Fg%2F11vwny4dx8!19sChIJ2wv6G0PB1DsRN6D8M1ukvU4?authuser=0&hl=en&rclk=1"
"HOTEL YATRI","3.8","482","","","","","https://www.google.com/maps/place/HOTEL+YATRI/data=!4m10!3m9!1s0x3bd4c1c1f1034cdb:0x8e8d6631988026e!5m2!4m1!1i1!8m2!3d21.139936!4d79.0947755!16s%2Fg%2F11fj3tdzb1!19sChIJ20wD8cHB1DsRbgKIGWPW6Ag?authuser=0&hl=en&rclk=1"
"Hotel Sunrise N Resorts","3.9","1,066","","","","","https://www.google.com/maps/place/Hotel+Sunrise+N+Resorts/data=!4m10!3m9!1s0x3bd4c3147d6c4b71:0xed2555aa3fa7d89e!5m2!4m1!1i1!8m2!3d21.280736!4d79.0842197!16s%2Fg%2F11bxc0rynp!19sChIJcUtsfRTD1DsRntinP6pVJe0?authuser=0&hl=en&rclk=1"
"Springdale Suites","4.4","407","","","","","https://www.google.com/maps/place/Springdale+Suites/data=!4m10!3m9!1s0x3bd4bf3d5b3edc3f:0x82eabc7b7b0d427b!5m2!4m1!1i1!8m2!3d21.0860223!4d79.0641414!16s%2Fg%2F11lkd2r3wg!19sChIJP9w-Wz2_1DsRe0INe3u86oI?authuser=0&hl=en&rclk=1"
"Treebo Trend Jog Centre - Hotel in Nagpur","4.0","483","","","","","https://www.google.com/maps/place/Treebo+Trend+Jog+Centre+-+Hotel+in+Nagpur/data=!4m10!3m9!1s0x3bd4bf09cbd69cf9:0xe933b1dfab45d591!5m2!4m1!1i1!8m2!3d21.0880185!4d79.0657312!16s%2Fg%2F11bw3c6qf_!19sChIJ-ZzWywm_1DsRkdVFq9-xM-k?authuser=0&hl=en&rclk=1"
"Itsy Hotels Aditya","3.6","522","","","","","https://www.google.com/maps/place/Itsy+Hotels+Aditya/data=!4m10!3m9!1s0x3bd4c061bfffffff:0x2f5da0829a92ce0c!5m2!4m1!1i1!8m2!3d21.13727!4d79.065794!16s%2Fg%2F1td23x7x!19sChIJ____v2HA1DsRDM6SmoKgXS8?authuser=0&hl=en&rclk=1"
"BTP Inn","4.1","50","","","","","https://www.google.com/maps/place/BTP+Inn/data=!4m10!3m9!1s0x3bd4c73f6fe5d42f:0xc8e92b1a312773c!5m2!4m1!1i1!8m2!3d21.1484185!4d79.130498!16s%2Fg%2F11p67ldt7p!19sChIJL9Tlbz_H1DsRPHcSo7GSjgw?authuser=0&hl=en&rclk=1"
"Hotel Gujarat","3.8","984","","","","","https://www.google.com/maps/place/Hotel+Gujarat/data=!4m10!3m9!1s0x3bd4c0c100228c4f:0x42ecea4ca63975a6!5m2!4m1!1i1!8m2!3d21.1428322!4d79.0898981!16s%2Fg%2F11k8fzs0rf!19sChIJT4wiAMHA1DsRpnU5pkzq7EI?authuser=0&hl=en&rclk=1"
"Atithi Inn","4.2","213","","","","","https://www.google.com/maps/place/Atithi+Inn/data=!4m10!3m9!1s0x3bd4c09760dc0f59:0x170c14437c9cef55!5m2!4m1!1i1!8m2!3d21.1331292!4d79.0828331!16s%2Fg%2F11bwgw37qd!19sChIJWQ_cYJfA1DsRVe-cfEMUDBc?authuser=0&hl=en&rclk=1"
"ELITA ROOMS","4.1","197","","","","","https://www.google.com/maps/place/ELITA+ROOMS/data=!4m10!3m9!1s0x3bd4bf51a1fa95fb:0x7da9762a47d89415!5m2!4m1!1i1!8m2!3d21.0935244!4d79.0669589!16s%2Fg%2F11h11bs933!19sChIJ-5X6oVG_1DsRFZTYRyp2qX0?authuser=0&hl=en&rclk=1"
"Itsy Hotels Le Clover","4.4","573","","","","","https://www.google.com/maps/place/Itsy+Hotels+Le+Clover/data=!4m10!3m9!1s0x3bd4c194543c4b6d:0xc283c0a3230eef75!5m2!4m1!1i1!8m2!3d21.1223724!4d79.0600208!16s%2Fg%2F11fhkqkkz8!19sChIJbUs8VJTB1DsRde8OI6PAg8I?authuser=0&hl=en&rclk=1"
"Treebo City Center","4.6","56","","","","","https://www.google.com/maps/place/Treebo+City+Center/data=!4m10!3m9!1s0x3bd4c733b8e43583:0xa72e563b058337d2!5m2!4m1!1i1!8m2!3d21.1538908!4d79.1179015!16s%2Fg%2F11l6zvrr8w!19sChIJgzXkuDPH1DsR0jeDBTtWLqc?authuser=0&hl=en&rclk=1"
"Collection O Hotel Parashar","3.3","255","","","","","https://www.google.com/maps/place/Collection+O+Hotel+Parashar/data=!4m10!3m9!1s0x3bd4c0e825ef83ff:0x973235e98de57f61!5m2!4m1!1i1!8m2!3d21.1545586!4d79.0866955!16s%2Fg%2F11dxl6tzkr!19sChIJ_4PvJejA1DsRYX_ljek1Mpc?authuser=0&hl=en&rclk=1"
"HOTEL MD STAR","4.4","195","","","","","https://www.google.com/maps/place/HOTEL+MD+STAR/data=!4m10!3m9!1s0x3bd4bfd7b09679d5:0xdb505199d09a0631!5m2!4m1!1i1!8m2!3d21.0881878!4d79.086851!16s%2Fg%2F11szbrb1_m!19sChIJ1XmWsNe_1DsRMQaa0JlRUNs?authuser=0&hl=en&rclk=1"
"Treebo Trend Rk Inn, Railway Station","4.2","140","","","","","https://www.google.com/maps/place/Treebo+Trend+Rk+Inn,+Railway+Station/data=!4m10!3m9!1s0x3bd4c1b859fa491f:0xb4fe47f122995930!5m2!4m1!1i1!8m2!3d21.1548507!4d79.0857584!16s%2Fg%2F11thhn2vmn!19sChIJH0n6WbjB1DsRMFmZIvFH_rQ?authuser=0&hl=en&rclk=1"
"Hotel Rahul Delux Nagpur","3.6","386","","","","","https://www.google.com/maps/place/Hotel+Rahul+Delux+Nagpur/data=!4m10!3m9!1s0x3bd4c19b6312ac11:0x46ea45ce01b18a00!5m2!4m1!1i1!8m2!3d21.1383624!4d79.0952825!16s%2Fg%2F11h7sgqdcv!19sChIJEawSY5vB1DsRAIqxAc5F6kY?authuser=0&hl=en&rclk=1"
"Peanut Hotel","3.8","404","","","","","https://www.google.com/maps/place/Peanut+Hotel/data=!4m10!3m9!1s0x3bd4c08855aba83f:0xaeb407b81b5c101b!5m2!4m1!1i1!8m2!3d21.1346605!4d79.0671906!16s%2Fg%2F1tctk7b2!19sChIJP6irVYjA1DsRGxBcG7gHtK4?authuser=0&hl=en&rclk=1"
"Treebo Trend Udyam Glory","4.5","118","","","","","https://www.google.com/maps/place/Treebo+Trend+Udyam+Glory/data=!4m10!3m9!1s0x3bd4c108841f7e67:0xe8a8509c242297da!5m2!4m1!1i1!8m2!3d21.1186299!4d79.041989!16s%2Fg%2F11v6yrrrpj!19sChIJZ34fhAjB1DsR2pciJJxQqOg?authuser=0&hl=en&rclk=1"
"Boutique Apartment","4.3","75","","","","","https://www.google.com/maps/place/Boutique+Apartment/data=!4m10!3m9!1s0x3bd4c167d1158d3d:0xd030d4af3ea7d14a!5m2!4m1!1i1!8m2!3d21.1333384!4d79.08265!16s%2Fg%2F11m9z_dp62!19sChIJPY0V0WfB1DsRStGnPq_UMNA?authuser=0&hl=en&rclk=1"
"FabHotel Shravan","4.0","1,212","","","","","https://www.google.com/maps/place/FabHotel+Shravan/data=!4m10!3m9!1s0x3bc2c0804547e1b9:0x7bcc35545bad0d7f!5m2!4m1!1i1!8m2!3d21.1410742!4d79.081062!16s%2Fg%2F1tdsh6vw!19sChIJueFHRYDAwjsRfw2tW1Q1zHs?authuser=0&hl=en&rclk=1"
"Hotel Vrandavan","3.8","969","","","","","https://www.google.com/maps/place/Hotel+Vrandavan/data=!4m10!3m9!1s0x3bd4c0c011f8b8d1:0xd51becc5eed1dfb0!5m2!4m1!1i1!8m2!3d21.1440247!4d79.0893824!16s%2Fg%2F1v9gsxtx!19sChIJ0bj4EcDA1DsRsN_R7sXsG9U?authuser=0&hl=en&rclk=1"
"Hotel Girija inn","3.8","145","","","","","https://www.google.com/maps/place/Hotel+Girija+inn/data=!4m10!3m9!1s0x3bd4c1d8cc0b269b:0xfb10b3173f2c58a4!5m2!4m1!1i1!8m2!3d21.1423536!4d79.0956308!16s%2Fg%2F11qwqw_6_s!19sChIJmyYLzNjB1DsRpFgsPxezEPs?authuser=0&hl=en&rclk=1"
"Hotel Utsav Radiance","4.6","30","","","","","https://www.google.com/maps/place/Hotel+Utsav+Radiance/data=!4m10!3m9!1s0x3bd4c12f0a123a83:0x9246154aa61421b7!5m2!4m1!1i1!8m2!3d21.1427331!4d79.0858446!16s%2Fg%2F11v0bqtdzk!19sChIJgzoSCi_B1DsRtyEUpkoVRpI?authuser=0&hl=en&rclk=1"
"Hotel Dwarka","3.6","784","","","","","https://www.google.com/maps/place/Hotel+Dwarka/data=!4m10!3m9!1s0x3bd4c0c011f8b8d1:0x957659dfb67ecaa9!5m2!4m1!1i1!8m2!3d21.142748!4d79.0847092!16s%2Fg%2F1thvr4g9!19sChIJ0bj4EcDA1DsRqcp-tt9ZdpU?authuser=0&hl=en&rclk=1"
