"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Treebo Chalets, Nagpur Airport","4.2","615","","","","","https://www.google.com/maps/place/Treebo+Chalets,+Nagpur+Airport/data=!4m10!3m9!1s0x3bd4bf64c375099b:0x4b072900eb7d41e9!5m2!4m1!1i2!8m2!3d21.0921481!4d79.0628628!16s%2Fg%2F11f60y03sb!19sChIJmwl1w2S_1DsR6UF96wApB0s?authuser=0&hl=en&rclk=1"
"Treebo Tryst The Memoir","4.2","142","","","","","https://www.google.com/maps/place/Treebo+Tryst+The+Memoir/data=!4m10!3m9!1s0x3bd4c1c3110bcc19:0x32ec5da4f2ac361a!5m2!4m1!1i2!8m2!3d21.136878!4d79.0720762!16s%2Fg%2F11sd1trxqg!19sChIJGcwLEcPB1DsRGjas8qRd7DI?authuser=0&hl=en&rclk=1"
"StayVista at Manbhav Farms","4.9","7","","VillaOpen","","","https://www.google.com/maps/place/StayVista+at+Manbhav+Farms/data=!4m10!3m9!1s0x3bd4f300343d4b55:0x56b878e7e11695c6!5m2!4m1!1i2!8m2!3d21.125383!4d78.771881!16s%2Fg%2F11y3y6synp!19sChIJVUs9NADz1DsRxpUW4ed4uFY?authuser=0&hl=en&rclk=1"
"FabHotel Happy Stay Inn - Hotel near nagpur bus stand","4.6","48","","","","","https://www.google.com/maps/place/FabHotel+Happy+Stay+Inn+-+Hotel+near+nagpur+bus+stand/data=!4m10!3m9!1s0x3bd4bf52d73dccaf:0x76598a5964cc7123!5m2!4m1!1i2!8m2!3d21.0955682!4d79.1054779!16s%2Fg%2F11vb9dys25!19sChIJr8w911K_1DsRI3HMZFmKWXY?authuser=0&hl=en&rclk=1"
"Treebo Tryst Brijinn","4.0","859","","","","","https://www.google.com/maps/place/Treebo+Tryst+Brijinn/data=!4m10!3m9!1s0x3bd4c0b9a5a1596b:0x1348ac1499b776de!5m2!4m1!1i2!8m2!3d21.1415508!4d79.0962846!16s%2Fg%2F11f57v031f!19sChIJa1mhpbnA1DsR3na3mRSsSBM?authuser=0&hl=en&rclk=1"
"Zuree beach house","4.2","22","","","","","https://www.google.com/maps/place/Zuree+beach+house/data=!4m10!3m9!1s0x3bd4f100177c9367:0xdf0dc2c9433c2db2!5m2!4m1!1i2!8m2!3d21.27779!4d78.792334!16s%2Fg%2F11y294xvn9!19sChIJZ5N8FwDx1DsRsi08Q8nCDd8?authuser=0&hl=en&rclk=1"
"OYO Hotel Paradise","3.4","340","","","","","https://www.google.com/maps/place/OYO+Hotel+Paradise/data=!4m10!3m9!1s0x3bd4c0c8cb4c1623:0x3d52cdb3ecd439a1!5m2!4m1!1i2!8m2!3d21.151676!4d79.1001!16s%2Fg%2F11c5_bqf7f!19sChIJIxZMy8jA1DsRoTnU7LPNUj0?authuser=0&hl=en&rclk=1"
"Hotel Sivanta by Bombay Group of Hotels","4.7","11","","","","","https://www.google.com/maps/place/Hotel+Sivanta+by+Bombay+Group+of+Hotels/data=!4m10!3m9!1s0x3bd4c1004f1e37d5:0x886637097d71ff24!5m2!4m1!1i2!8m2!3d21.1445664!4d79.0859842!16s%2Fg%2F11vwsdgrql!19sChIJ1TceTwDB1DsRJP9xfQk3Zog?authuser=0&hl=en&rclk=1"
"Hotel Century","3.8","339","","","","","https://www.google.com/maps/place/Hotel+Century/data=!4m10!3m9!1s0x3bd4c0c7aaaaaaab:0x247233350dee1515!5m2!4m1!1i2!8m2!3d21.1425194!4d79.0899704!16s%2Fg%2F11cs4gj65s!19sChIJq6qqqsfA1DsRFRXuDTUzciQ?authuser=0&hl=en&rclk=1"
"Hotel Sukoon","4.2","5","","","","","https://www.google.com/maps/place/Hotel+Sukoon/data=!4m10!3m9!1s0x3bd4bf9c61adf5d7:0xf30dcacd87774429!5m2!4m1!1i2!8m2!3d21.090687!4d79.06513!16s%2Fg%2F11j2xmbxr5!19sChIJ1_WtYZy_1DsRKUR3h83KDfM?authuser=0&hl=en&rclk=1"
