"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Satpuda Botanical Garden","3.9","333","","","","","https://www.google.com/maps/place/Satpuda+Botanical+Garden/data=!4m7!3m6!1s0x3bd4c036f85cfad9:0x7884c3ac985fa0fe!8m2!3d21.1573338!4d79.0397862!16s%2Fg%2F1tkjjncj!19sChIJ2fpc-DbA1DsR_qBfmKzDhHg?authuser=0&hl=en&rclk=1"
"Statue of freedom of press","4.7","3","","Tourist attraction ground floor 43PH+38P amarjyoti palace Wardha Rd near Shatayu Multispeciality Hospital-Diabetologist/Critical care Specilist/Hypertension & Strokes/Respiratory ProblemsOpen","","","https://www.google.com/maps/place/Statue+of+freedom+of+press/data=!4m7!3m6!1s0x3bd4c18b58ca2df7:0xc108226d6b3e35e0!8m2!3d21.1352924!4d79.0783413!16s%2Fg%2F11kpqjpflf!19sChIJ9y3KWIvB1DsR4DU-a20iCME?authuser=0&hl=en&rclk=1"
"Krazy Castle Aqua Park","4.0","3,603","","","","","https://www.google.com/maps/place/Krazy+Castle+Aqua+Park/data=!4m7!3m6!1s0x3bd4c07235bafec1:0x90b6227685b57ad3!8m2!3d21.1282952!4d79.0462212!16s%2Fg%2F1tgx51m9!19sChIJwf66NXLA1DsR03q1hXYitpA?authuser=0&hl=en&rclk=1"
"Ambazari Lake Walk","4.3","376","","Nature preserve  42HW+33W Ambazari Lake WalkOpen","","","https://www.google.com/maps/place/Ambazari+Lake+Walk/data=!4m7!3m6!1s0x3bd4c07253a776ed:0x74d691686cc189b0!8m2!3d21.1277295!4d79.0452043!16s%2Fg%2F11g8kcmbf5!19sChIJ7XanU3LA1DsRsInBbGiR1nQ?authuser=0&hl=en&rclk=1"
"Nagpur Eiffel Tower","4.1","19","","","","","https://www.google.com/maps/place/Nagpur+Eiffel+Tower/data=!4m7!3m6!1s0x3bd4c7eea7c2c24f:0x42a9a1a7cc3830b6!8m2!3d21.1263883!4d79.1227744!16s%2Fg%2F11kq4_508n!19sChIJT8LCp-7H1DsRtjA4zKehqUI?authuser=0&hl=en&rclk=1"
"Nag River Start Location","4.2","36","","","","","https://www.google.com/maps/place/Nag+River+Start+Location/data=!4m7!3m6!1s0x3bd4c07363919177:0xe2c44ad8956cf803!8m2!3d21.1245037!4d79.0433395!16s%2Fg%2F11c5h4jp40!19sChIJd5GRY3PA1DsRA_hsldhKxOI?authuser=0&hl=en&rclk=1"
"Gorewada Nature Trail Pagoda","4.4","30","","","","","https://www.google.com/maps/place/Gorewada+Nature+Trail+Pagoda/data=!4m7!3m6!1s0x3bd4c1b9a0116173:0x26068b59cc5dc!8m2!3d21.1959326!4d79.032208!16s%2Fg%2F11qq9b3671!19sChIJc2ERoLnB1DsR3MWctWhgAgA?authuser=0&hl=en&rclk=1"
"Zero Mile Freedom Park","4.6","367","","Park  43XJ+25Q Morris College Y Point SitabuldiOpen","On","","https://www.google.com/maps/place/Zero+Mile+Freedom+Park/data=!4m7!3m6!1s0x3bd4c12684bfaebf:0xfe328b06145c4f20!8m2!3d21.1475886!4d79.0804957!16s%2Fg%2F11qg4qz5_b!19sChIJv66_hCbB1DsRIE9cFAaLMv4?authuser=0&hl=en&rclk=1"
"Narrow Gauge Rail Museum","4.3","2,412","","","","","https://www.google.com/maps/place/Narrow+Gauge+Rail+Museum/data=!4m7!3m6!1s0x3bd4c0deefb993a3:0x3cf468c43f564ffb!8m2!3d21.1663867!4d79.0900355!16s%2Fg%2F1tf_rb72!19sChIJo5O5797A1DsR-09WP8Ro9Dw?authuser=0&hl=en&rclk=1"
"Gorewada lake and dam","4.4","303","","","","","https://www.google.com/maps/place/Gorewada+lake+and+dam/data=!4m7!3m6!1s0x3bd4c1c9e0c2c4c7:0x2ab229f8d7eacf12!8m2!3d21.1935321!4d79.0416849!16s%2Fg%2F11h77zr5lg!19sChIJx8TC4MnB1DsREs_q1_gpsio?authuser=0&hl=en&rclk=1"
