Lat,Lng,Price,Sqft,Bhk,secondary_road_mean_dist,secondary_link_mean_dist,primary_road_mean_dist,primary_link_mean_dist,trunk_road_mean_dist,trunk_link_mean_dist,college_mean_dist,govt_institute_mean_dist,hotel_mean_dist,malls_mean_dist,schools_mean_dist,it_companies_mean_dist,tourist_spot_mean_dist,hospital_mean_dist,Type_ Apartment,Type_ Land/Plot
21.12750433,79.05485988,180.0,13333,0,941.9868678039928,847.3697533798155,2435.4809806794046,1603.6535556896572,2870.008668044689,2118.885545996921,2202.7507348301046,2163.4083532432783,2697.1258208392983,2070.420246128022,2010.278518322038,817.5894166541672,2081.101360085616,1172.438692596444,False,True
21.12682945,79.05786762,300.0,3000,4,890.9204123865863,605.4071577280417,3250.3075335869876,1802.9873985444124,2495.3586170968097,1823.250590960075,2128.77560496935,2025.019512513985,2632.7835275734947,1947.9701616364337,1858.4285665513871,910.4642508505872,2106.291969617629,1008.9338161349632,True,False
21.12490049,79.10164833,145.0,1600,4,942.1511622188184,223.10424683860043,2207.193069690995,1489.7852967562076,3003.699139286746,2652.0066745459526,1830.1191349195049,1903.02366937515,2844.2424318015355,1767.4560826145891,1933.7678158065112,2055.465783562074,2204.739712228334,1397.9195001960943,True,False
21.12854017,79.09651995,200.0,1500,4,816.7004210014234,293.23213355791637,2406.959730552049,1768.8665569428267,2805.156139057261,2026.117382794523,1708.3044027343192,1584.7797210574438,2372.080111207751,1338.1555669474485,1754.9121242331755,1947.5440745059016,1971.838985639309,1133.6563586702246,True,False
21.12806017,79.09507155,200.0,1800,4,848.4091780590732,441.2198625449169,2463.4458750477875,1889.6006297567385,2888.001719049733,1899.2601585307675,1735.0754048746312,1580.7576894392716,2349.566116760328,1378.5011843213886,1726.830135630824,1945.3541460425472,2021.9319843308735,1080.6893352870593,True,False
21.15599427,79.07581329,160.0,1500,3,1159.6640193966866,500.887197333075,2042.391008695066,1481.6409337097318,1060.4647595266838,612.288701438052,992.9586464398052,321.6599129380847,1891.607944478509,1348.4121874938558,1257.535556053526,1520.6378349087272,1162.5565819184692,1592.7263758097115,True,False
21.15935778,79.06731606,80.0,750,2,1016.8565015589014,213.91212536273997,2173.3490258595234,1349.476192365379,1614.914532296796,1547.4622056564956,1223.7870809920707,425.2665150189192,2631.5322305613736,1986.8916570487352,1700.6692375134485,1879.343424336042,1461.2800390187963,2146.7429818201495,True,False
21.1527955,79.06589985,500.0,2400,0,1064.4119449342609,808.2206729610785,2738.8857630907464,2057.3829483469076,1674.71818706678,1567.3768663980766,1217.1094359925412,456.9094795877312,2457.0031101337545,1687.388588646821,1638.6112835778029,1843.6437214426333,1416.4943903302233,1653.1429463403438,False,True
21.15119554,79.07328129,600.0,3000,0,1103.146477083989,896.3468727808464,2564.3089834820657,2013.4807406620323,1254.8753134117867,814.9284492920049,1130.2396786453933,411.6309557245022,1832.0140672213577,1256.9913774327638,1319.4421148733002,1598.5587163982625,1109.3662662009742,1305.0915474571714,False,True
21.15540267,79.07028258,70.0,1200,2,1057.6200173320244,674.528789090999,2325.9575894917043,1639.000319294218,1390.180322217703,1154.2482436621156,1192.8175461664823,174.35545643115265,2229.323486931219,1609.4133046237607,1469.1718030651828,1714.546928608495,1308.4298014536969,1729.6195969845808,True,False
21.13750901,79.0816927,300.0,3600,4,812.826903131602,497.39317138868194,2888.3567328940717,2349.796942534614,1706.977057484494,293.85086040649617,1252.5170969510702,1252.823153997569,1522.3056786703166,1017.0698933829406,1293.7867303209518,1553.7683601227327,1209.5252745516416,239.7964427049012,True,False
21.1325869,79.07924652,200.0,1600,3,897.1016751337943,885.745923194622,3040.3411286359087,2852.7950343943858,1931.534242372527,207.3435101626888,1485.2246699427153,1366.3288908728944,1850.520921535596,1405.2145948797263,1311.2290415505695,1591.243000915841,1612.7260702339988,196.26118438317832,True,False
21.13586832,79.08345222,128.0,1280,3,806.929963673806,600.4268378931956,2854.6223938526205,2315.324344795338,1850.6519659892651,510.0680358542154,1306.1864471916867,1281.9321733446573,1602.958642063131,1071.245253089682,1375.499147859698,1629.6557729656602,1334.4853109365922,270.30509925423263,True,False
21.13278699,79.07928944,89.0,1200,2,896.7275229883085,882.4294557719,3041.337928200703,2836.0101502692414,1921.4315461026215,206.22788861508212,1475.745766933429,1360.650720909763,1837.858149118474,1389.8875360171503,1306.0583076400123,1586.8671562123254,1596.4602573235154,193.61151612594537,True,False
21.13282517,79.07928944,30.0,1100,0,896.6768760518943,881.8509045398348,3041.7086321722845,2833.444002190484,1919.393436437011,205.36437990381737,1474.100329375914,1359.6856749141057,1835.6120740627584,1387.2951658824109,1304.905156148738,1585.9063495705277,1593.4607825507403,192.99720789353069,False,True
21.137608,79.06448364,130.0,1500,3,859.9971662565912,715.4712541850616,3082.134620212098,2537.979339054662,2079.7625993367483,1442.8909567341411,1296.4155362356028,1376.7680996316617,2383.8612135518947,1382.4824108177388,1468.6959973064472,1295.5587056636916,1794.3510533706133,632.3819061365559,True,False
21.13556704,79.05669451,87.0,900,2,990.6487841838735,841.5402664972138,3027.859559248454,2368.8419770716546,2617.793002375631,2161.18587097157,1621.2032764079463,1716.5866703719526,2772.589369305589,1803.360180409379,1920.8203253564272,1083.5198025325612,1851.5013144580575,905.6992348919332,True,False
21.13782801,79.05744553,125.0,1450,3,1016.7063354084148,987.0714270685924,3013.902120091434,2548.3767542005785,2453.2132414973967,2147.757999592445,1471.233360491508,1572.8640511760254,2765.697507499008,1715.8388727888196,1879.564923813384,1169.8436704122594,1838.3944967056375,905.4713443517068,True,False
